gender,ethnicity,urban,unemp,wage,distance,education,income
female,other,no,6.599999904632568,8.87984727197928,0.10000000149011612,15,high
female,other,no,8.199999809265137,7.522159720194516,0.20000000298023224,16,low
male,other,no,6.300000190734863,7.35458028467683,2,16,low
female,other,no,6.800000190734863,8.8062950520476,4,13,low
female,other,no,14.800000190734863,10.879816100388627,3,12,low
female,other,no,5.800000190734863,7.212006224035612,0.5,16,low
male,other,no,9.399999618530273,9.928832922803009,2,12,low
male,other,no,14.899999618530273,8.271137423320832,2.5999999046325684,14,low
female,afam,no,8,10.221905548687399,0.20000000298023224,17,high
female,other,no,6.599999904632568,9.968549540154818,0.800000011920929,12,low
male,other,no,9.5,9.925092748663943,0.30000001192092896,12,low
male,hispanic,yes,5.599999904632568,9.57377485645672,0.30000001192092896,12,low
male,other,no,5.5,7.464381766088871,2.5,12,low
female,other,no,8.699999809265137,8.849383456224285,1.5,12,high
male,afam,yes,7.699999809265137,9.98262624244783,0.10000000149011612,12,low
female,other,no,6.5,8.029779527816242,0.800000011920929,15,low
female,other,no,13.800000190734863,12.947761638700511,5,12,high
female,afam,yes,5.900000095367432,8.214600683419926,1.2000000476837158,12,low
male,other,no,6.900000095367432,8.273784851971918,3.299999952316284,12,low
female,other,no,7.099999904632568,8.923354102002932,0.699999988079071,15,high
female,other,no,5.5,10.26250891395936,0.30000001192092896,16,high
female,afam,no,8.5,9.897641559873183,4,16,low
female,other,no,8.399999618530273,10.313211491229989,2,13,low
male,other,yes,14,12.123018405166382,0.800000011920929,16,high
female,other,no,3,9.748744914582591,1.5,14,high
female,hispanic,yes,5.900000095367432,9.97233942952297,0.4000000059604645,12,low
female,other,no,4.699999809265137,7.5862584725494004,0.699999988079071,12,high
female,afam,no,6.800000190734863,8.909153199614648,1.5,14,low
male,other,no,5.400000095367432,8.865157110693822,0.800000011920929,16,low
male,other,no,3.5,9.975228003497927,1,12,low
female,other,no,5.199999809265137,8.256049360569216,0.30000001192092896,12,low
female,other,no,7.199999809265137,8.805870059486937,0.10000000149011612,12,low
male,other,no,7.599999904632568,10.149991893616116,0.699999988079071,14,high
female,other,no,9,8.916304638627178,2.5,16,low
male,other,no,4.099999904632568,10.488398366731701,1.2000000476837158,16,high
male,other,no,14,12.173340569718318,3.5,12,high
male,other,no,5.300000190734863,10.180485222928477,2.5,12,low
female,other,no,6.800000190734863,8.892223448951649,1.5,12,high
male,afam,yes,5.900000095367432,9.86427012895855,1,12,low
female,afam,no,7.199999809265137,7.260973433143394,3,12,low
male,other,no,6.699999809265137,10.020893693588537,0.10000000149011612,12,low
male,other,no,2.5,7.109972023103405,1.5,12,high
female,hispanic,no,6.900000095367432,10.091964736258104,2.200000047683716,12,high
male,afam,yes,8,10.295911490398431,0.20000000298023224,15,high
female,other,no,6.5,9.733855424682371,0.10000000149011612,14,high
female,hispanic,no,6.900000095367432,10.22733406526125,2,16,low
male,afam,yes,5.599999904632568,7.309877908053028,0.30000001192092896,14,low
male,other,no,12.399999618530273,11.614170077679379,9,12,high
female,other,no,7.099999904632568,9.562951580077195,10,15,low
female,other,no,11.5,7.498947967863494,5,12,low
female,other,yes,9.899999618530273,9.941739707264496,0.10000000149011612,12,low
female,hispanic,no,6.099999904632568,8.85621903749149,3.5,12,low
female,afam,yes,6.599999904632568,8.893595016723257,1,12,low
female,other,no,4.900000095367432,9.956248081018508,0.10000000149011612,14,low
female,other,no,7.699999809265137,10.356677248080695,3,12,low
female,other,no,6.900000095367432,7.169201383722311,0.10000000149011612,16,high
male,other,no,7,8.140618094302077,0.30000001192092896,16,high
female,afam,yes,9.199999809265137,9.568845464729268,0.10000000149011612,12,low
male,afam,yes,5.5,7.237478858708781,0.5,14,low
female,other,no,8.300000190734863,10.253909897134447,1.5,12,low
female,other,yes,8,9.63745516211661,1,14,low
male,afam,yes,6.699999809265137,7.349435788324948,1,12,low
female,afam,yes,5.900000095367432,8.259678944343007,0.4000000059604645,12,low
female,other,no,9.199999809265137,8.8693157793782,3,14,high
female,other,no,9.5,9.852575313282179,0.30000001192092896,14,high
female,other,no,7,9.541124243003454,0.10000000149011612,12,high
male,other,no,10.699999809265137,10.063331077233896,0.10000000149011612,15,low
female,other,no,6.800000190734863,8.843820427725719,2,12,low
female,other,no,8.199999809265137,8.898434530828741,0.4000000059604645,14,low
male,hispanic,no,6.099999904632568,8.851745226483727,3.5,13,high
male,other,no,6.099999904632568,12.98369786482552,4,12,low
female,afam,no,11.800000190734863,10.847885439059437,0.4000000059604645,12,high
female,other,yes,9.300000190734863,11.648166698905483,2,16,high
male,other,no,4,7.414183997060508,2,14,low
female,hispanic,no,6.599999904632568,8.821150762199723,0.4000000059604645,12,low
male,other,no,4,9.729795445454913,5,13,low
male,other,yes,5.5,7.213465152246206,0.800000011920929,16,high
male,other,yes,9.699999809265137,10.253236845153724,0.6000000238418579,15,low
female,other,no,9.699999809265137,9.93875507157553,3.5999999046325684,16,low
male,other,yes,4.599999904632568,7.317078180395381,0.5,12,low
male,other,no,6.099999904632568,8.11133573640644,1.5,13,low
male,other,no,4.199999809265137,9.696584093269378,1,16,high
male,hispanic,no,6.300000190734863,7.586721657152655,4,13,high
male,other,no,12.899999618530273,8.942251655792761,6.199999809265137,12,low
female,afam,no,8.399999618530273,8.331525370244716,4.5,12,low
female,hispanic,no,8.399999618530273,10.765619147367325,1.600000023841858,12,high
male,other,yes,5.599999904632568,10.238725729225656,0.10000000149011612,16,low
female,afam,yes,6.599999904632568,8.848593501204737,0.5,13,low
female,other,no,4.599999904632568,8.113962682002699,0.800000011920929,17,high
female,hispanic,no,11.800000190734863,10.840229009710823,0.4000000059604645,14,low
male,other,no,6.300000190734863,11.579113255011887,1,12,low
male,other,no,10.5,12.864819097603624,9,12,low
female,other,no,4.099999904632568,11.18345046662912,4,15,low
male,other,no,10.300000190734863,9.655838981700548,0.10000000149011612,12,low
male,other,no,8.199999809265137,7.50192599063845,0.5,17,high
female,other,yes,4.300000190734863,9.898353091106403,1.5,12,low
male,other,no,15.699999809265137,10.255607268618025,4,15,low
female,other,no,4.599999904632568,7.337284504707557,0.699999988079071,12,high
female,other,no,6.800000190734863,10.224992214766477,0.30000001192092896,13,high
male,other,yes,4.300000190734863,8.882876072612609,0.6000000238418579,14,low
female,other,yes,9.199999809265137,9.617275839833578,0.4000000059604645,16,low
female,other,no,4.199999809265137,9.718708957309225,0.10000000149011612,14,low
