state,year,region,pcap,hwy,water,util,pc,gsp,emp,unemp
ARIZONA,1970,8,10148.42,4556.81,1627.87,3963.75,23585.99,19288,547.4,4.4
ARIZONA,1971,8,10560.54,4701.97,1627.34,4231.23,24924.82,21040,581.4,4.7
ARIZONA,1972,8,10977.53,4847.84,1614.58,4515.11,26058.65,23289,646.3,4.2
ARIZONA,1973,8,11598.26,4963.46,1647.88,4986.92,27304.64,25244,714.5,4.1
ARIZONA,1974,8,12129.06,5071.38,1678,5379.69,28829.44,25698,746,5.6
ARIZONA,1975,8,12929.06,5163.41,1764.87,6000.77,30243.29,24915,729.1,12
ARIZONA,1976,8,13603.89,5249.82,1910.43,6443.63,29384.15,26041,758.7,9.8
ARIZONA,1977,8,14175.42,5358.45,1973.48,6843.5,30072.6,28110,809.3,8.2
ARIZONA,1978,8,14812.04,5470,2038.3,7303.73,31139.49,31062,895.4,6.1
ARIZONA,1979,8,15547.62,5603.12,2132.49,7812.01,32377.41,33943,979.9,5.1
ARIZONA,1980,8,16344.9,5720.38,2165.64,8458.88,33769.92,34708,1014,6.7
ARIZONA,1981,8,17088.3,5816.05,2265.42,9006.84,36387.15,35244,1040.8,6.1
ARIZONA,1982,8,17650.57,5918.5,2377.2,9354.87,37332.09,33603,1029.8,9.9
ARIZONA,1983,8,18108.24,6019.87,2513.38,9574.99,37829.83,35963,1077.8,9.1
ARIZONA,1984,8,18792.09,6101.45,2574.78,10115.86,38330.02,40010,1181.9,5
ARIZONA,1985,8,19414.85,6282.51,2737.37,10394.97,39246.83,43350,1278.6,6.5
ARIZONA,1986,8,20212.42,6553.4,2923.15,10735.88,44189.19,46058,1337.8,6.9
CALIFORNIA,1970,9,128545.36,42961.31,17837.26,67746.79,172791.92,263933,6946.2,7.2
CALIFORNIA,1971,9,132263.33,44768.37,18448.04,69046.92,180864.28,265600,6917,8.8
CALIFORNIA,1972,9,134451.52,46045.52,18813.82,69592.17,187587.86,281159,7209.9,7.6
CALIFORNIA,1973,9,135988.4,47064.46,19084.52,69839.43,193535.82,293735,7621.9,7
CALIFORNIA,1974,9,136827.29,47572.52,19092.78,70162,204096.43,298408,7834.3,7.7
CALIFORNIA,1975,9,138487.39,47699.42,19654.53,71133.44,213216.84,304518,7847.2,9.9
CALIFORNIA,1976,9,139514.18,47568.65,20346.64,71598.89,221958.93,320160,8154.2,9.2
CALIFORNIA,1977,9,139910.22,47137.99,21014.45,71757.78,226544.27,338040,8599.7,8.2
CALIFORNIA,1978,9,139408.84,46472.4,21556.85,71379.6,233936.43,359603,9199.8,7.1
CALIFORNIA,1979,9,140217.32,46132.47,22297.31,71787.54,243776.26,374928,9664.6,6.2
CALIFORNIA,1980,9,139776.97,45597.88,22925.93,71253.16,255305.95,380221,9848.8,6.8
CALIFORNIA,1981,9,139662.44,45042.91,23291.36,71328.17,286402.55,378436,9985.3,7.4
CALIFORNIA,1982,9,139232.39,44490.48,23502.43,71239.48,297844.03,372541,9810.3,9.9
CALIFORNIA,1983,9,138535.66,44027.17,23828.67,70679.82,305210.16,390528,9965.8,9.7
CALIFORNIA,1984,9,138101.55,43826.52,23841.32,70433.71,312008.57,420525,10574,7.8
CALIFORNIA,1985,9,138170.93,43566.26,24121.33,70483.33,324335.15,444082,10979,7.2
CALIFORNIA,1986,9,139042.68,43350.54,24592.33,71099.8,363779.7,464550,11258,6.7
COLORADO,1970,8,11402.52,4403.21,2165.03,4834.28,23709.75,25689,750.2,4.4
COLORADO,1971,8,11682.06,4535.52,2166.21,4980.33,25186.8,27341,787,4
COLORADO,1972,8,12010.91,4757.59,2133.49,5119.84,26010.17,29624,869.4,3.6
COLORADO,1973,8,12473.28,4982.21,2206.43,5284.65,27387.44,32417,936,3.4
COLORADO,1974,8,12964.14,5143.73,2312.49,5507.92,28763.31,33039,959.7,3.8
COLORADO,1975,8,13483.92,5223.11,2464.28,5796.53,29939.43,33593,963.5,6.9
COLORADO,1976,8,14090.24,5318.1,2617.61,6154.52,34680.9,35223,1003.4,5.9
COLORADO,1977,8,14736.89,5463.79,2747.31,6525.79,35116.03,37429,1058.1,6.2
COLORADO,1978,8,15240.49,5598.49,2887.92,6754.09,36213.58,40522,1150,5.6
COLORADO,1979,8,15711.11,5705.99,3078.37,6926.75,37674.72,42917,1218,4.8
COLORADO,1980,8,16272.57,5766.89,3274.49,7231.19,39349.98,43888,1251.1,5.9
COLORADO,1981,8,16692.71,5820.52,3564.34,7307.84,45660.95,44695,1295.2,5.5
